Player,Year,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,cluster,x_cor,y_cor,Pos
Nazr Mohammed,2010,17.0,3.3,5.9,0.5529999999999999,0.0,0.0,0.0,3.3,5.9,0.5529999999999999,0.5529999999999999,1.4,2.2,0.648,2.0,3.3,5.2,0.5,0.3,0.7,0.9,1.8,7.9,0,-10.337176780620515,2.720551854290396,C
Jamario Moon,2010,17.2,1.9,4.0,0.462,0.5,1.6,0.32,1.3,2.4,0.5579999999999999,0.526,0.6,0.7,0.8,0.4,2.7,3.1,0.8,0.6,0.5,0.4,1.1,4.9,0,-14.634476555212432,0.05750573888012591,SF
Mikki Moore,2010,17.7,2.3,3.9,0.6,0.0,0.0,0.0,2.3,3.9,0.6,0.6,0.3,0.5,0.636,1.1,1.9,3.0,1.6,0.2,0.6,0.9,2.6,5.0,0,-13.692609066084414,0.9285384532622625,C
Anthony Morrow,2010,29.2,4.8,10.2,0.46799999999999997,2.0,4.4,0.456,2.7,5.7,0.47700000000000004,0.568,1.5,1.7,0.8859999999999999,0.9,2.9,3.8,1.5,0.9,0.2,1.2,2.3,13.0,2,1.6847304805542394,-2.53216067584792,SG
Troy Murphy,2010,32.6,5.3,11.3,0.47200000000000003,1.8,4.6,0.384,3.6,6.7,0.5329999999999999,0.551,2.1,2.7,0.7979999999999999,1.8,8.4,10.2,2.1,1.0,0.5,1.4,2.4,14.6,1,7.019212003370397,3.611219800957764,PF
Ronald Murray,2010,22.3,3.6,9.1,0.392,0.9,2.9,0.312,2.7,6.2,0.431,0.44299999999999995,1.9,2.6,0.727,0.4,2.1,2.4,1.8,0.6,0.2,1.2,1.7,9.9,3,-4.626231388817068,-2.5980723951684213,SG
Ronald Murray,2010,21.6,3.5,8.9,0.389,0.9,2.8,0.313,2.6,6.1,0.425,0.439,2.0,2.8,0.71,0.3,1.8,2.1,1.8,0.6,0.3,1.4,1.7,9.9,3,-5.218585259302516,-2.888888421901305,SG
Ronald Murray,2010,23.4,3.7,9.4,0.397,1.0,3.1,0.311,2.8,6.3,0.44,0.449,1.7,2.2,0.762,0.4,2.5,2.9,1.8,0.6,0.1,0.9,1.7,10.1,3,-3.6611919187765327,-2.269029383124597,SG
Steve Nash*,2010,32.8,6.2,12.2,0.507,1.5,3.6,0.426,4.6,8.6,0.54,0.57,2.6,2.8,0.938,0.4,2.9,3.3,11.0,0.5,0.1,3.6,1.3,16.5,2,8.9432943311372,-5.273879171080565,PG
Jameer Nelson,2010,28.6,4.9,10.9,0.449,1.3,3.5,0.381,3.6,7.4,0.48100000000000004,0.51,1.5,1.8,0.845,0.4,2.6,3.0,5.4,0.7,0.0,2.1,2.3,12.6,2,2.289967170675581,-3.505252928762046,PG
Joakim Noah,2010,30.1,4.1,8.1,0.504,0.0,0.0,0.0,4.1,8.1,0.504,0.504,2.5,3.4,0.7440000000000001,3.4,7.6,11.0,2.1,0.5,1.6,1.8,3.1,10.7,1,2.729282784944448,8.186757776636517,C
Andrés Nocioni,2010,19.7,3.1,7.8,0.39899999999999997,1.3,3.3,0.386,1.8,4.5,0.408,0.48,0.9,1.3,0.7170000000000001,0.4,2.5,3.0,1.0,0.4,0.3,0.9,2.1,8.5,0,-8.738434709712408,-1.8680948456945343,SF
Dirk Nowitzki,2010,37.5,8.9,18.5,0.48100000000000004,0.6,1.5,0.42100000000000004,8.3,17.0,0.48700000000000004,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,4,23.393807704250296,1.3748699412590502,PF
